City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mount Isa,AU,-20.7333,139.5,75.2,100,100,14.97,heavy intensity rain
80,Cidreira,BR,-30.1811,-50.2056,75.22,63,57,11.12,broken clouds
81,Gravdal,NO,68.1214,13.5031,32.72,90,86,21.72,overcast clouds
82,Jamestown,US,42.097,-79.2353,19.0,62,40,19.57,scattered clouds
83,Vagay,RU,57.9375,69.0217,33.91,95,100,13.4,overcast clouds
84,Khatanga,RU,71.9667,102.5,-36.92,78,0,5.12,clear sky
85,Thompson,CA,55.7435,-97.8558,-34.6,67,75,12.66,snow
86,Lebu,CL,-37.6167,-73.65,62.74,77,92,6.29,overcast clouds
87,Grand Gaube,MU,-20.0064,57.6608,80.01,77,46,4.0,scattered clouds
88,Lumby,CA,50.2498,-118.969,33.01,93,100,2.3,light snow
89,Cape Town,ZA,-33.9258,18.4232,79.0,65,0,18.41,clear sky
90,Leningradskiy,RU,69.3833,178.4167,-13.7,81,87,6.6,overcast clouds
91,Birao,CF,10.2849,22.7882,82.8,15,69,8.48,broken clouds
92,Hilo,US,19.7297,-155.09,61.0,67,1,6.91,clear sky
93,Guiyang,CN,26.5833,106.7167,55.4,82,20,4.47,few clouds
94,La Ciotat,FR,43.1748,5.6045,59.0,69,100,26.8,overcast clouds
95,Lotofaga,WS,-13.9764,-171.8578,80.6,89,75,17.27,light rain
96,Christiana,ZA,-27.914,25.1611,78.6,52,75,8.75,light rain
97,Atuona,PF,-9.8,-139.0333,80.29,76,60,22.68,broken clouds
98,Kodiak,US,57.79,-152.4072,23.0,74,1,4.61,clear sky
99,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,73,75,4.61,broken clouds
100,Bredasdorp,ZA,-34.5322,20.0403,78.8,53,0,16.11,clear sky
101,Turochak,RU,52.2576,87.1224,31.91,98,99,2.33,overcast clouds
102,Kibaya,TZ,-5.3,36.5667,64.13,96,98,1.57,moderate rain
103,Tautira,PF,-17.7333,-149.15,78.01,73,75,5.75,light rain
104,Lasa,IT,46.6166,10.7002,45.0,93,20,10.36,few clouds
105,New Norfolk,AU,-42.7826,147.0587,57.2,88,90,4.61,overcast clouds
106,Phalombe,MW,-15.8064,35.6507,74.44,88,68,3.44,light rain
107,Mar Del Plata,AR,-38.0023,-57.5575,68.0,68,75,13.8,broken clouds
108,Saint George,US,37.1041,-113.5841,35.6,55,1,4.61,clear sky
109,Lompoc,US,34.6391,-120.4579,50.0,93,1,3.44,clear sky
110,Anderson,US,34.5334,-82.6499,45.0,70,90,5.48,overcast clouds
111,Dunedin,NZ,-45.8742,170.5036,57.99,87,4,1.01,clear sky
112,Awbari,LY,26.5921,12.7805,78.03,16,66,12.26,broken clouds
113,Upernavik,GL,72.7868,-56.1549,20.3,81,100,6.55,overcast clouds
114,Chuy,UY,-33.6971,-53.4616,79.66,50,0,10.09,clear sky
115,Laguna,US,38.421,-121.4238,39.0,93,1,1.86,mist
116,Buin,CL,-33.7333,-70.75,73.0,82,90,3.44,mist
117,Victoria,HK,22.2855,114.1577,68.0,69,0,4.54,clear sky
118,Sorong,ID,-0.8833,131.25,81.03,79,100,1.43,overcast clouds
119,Rorvik,NO,64.8621,11.2373,24.21,96,100,8.23,overcast clouds
120,Oussouye,SN,12.485,-16.5469,80.6,50,0,13.8,clear sky
121,Taoudenni,ML,22.6783,-3.9836,80.13,19,54,17.34,broken clouds
122,Rakovski,BG,42.3,24.9667,61.0,63,40,4.61,scattered clouds
123,Kavaratti,IN,10.5669,72.642,81.0,69,0,10.78,clear sky
124,Provideniya,RU,64.3833,-173.3,2.03,92,64,4.23,broken clouds
125,Husavik,IS,66.0449,-17.3389,33.8,64,75,6.91,broken clouds
126,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,17.27,scattered clouds
127,Iralaya,HN,15.0,-83.2333,82.4,79,40,12.53,scattered clouds
128,Ekibastuz,KZ,51.6667,75.3667,28.08,94,20,14.74,few clouds
129,Monte Alegre,BR,-2.0078,-54.0692,92.52,40,24,5.68,few clouds
130,Cherskiy,RU,68.75,161.3,-9.98,81,0,7.72,clear sky
131,Ust-Ilimsk,RU,58.0006,102.6619,6.78,94,100,5.68,overcast clouds
132,Ponta Do Sol,PT,32.6667,-17.1,62.6,51,40,11.5,scattered clouds
133,Carnarvon,AU,-24.8667,113.6333,80.6,100,75,12.66,broken clouds
134,Gigmoto,PH,13.7796,124.39,78.57,86,73,9.93,broken clouds
135,Carlsbad,US,33.1581,-117.3506,48.2,93,1,4.61,mist
136,Barra Patuca,HN,15.8,-84.2833,82.11,72,34,9.64,scattered clouds
137,Derzhavinsk,KZ,51.1,66.3167,33.3,96,100,19.42,snow
138,Ludvika,SE,60.1496,15.1878,19.4,79,90,10.36,overcast clouds
139,Port Hedland,AU,-20.3167,118.5667,80.6,74,75,9.22,broken clouds
140,Nouadhibou,MR,20.931,-17.0347,71.6,46,0,20.71,sand
141,Shimoda,JP,34.6667,138.95,39.99,70,0,15.9,clear sky
142,Galion,US,40.7337,-82.7899,12.2,62,1,17.27,clear sky
143,Yellowknife,CA,62.456,-114.3525,-42.0,66,1,2.3,fog
144,Itarema,BR,-2.9248,-39.9167,88.07,55,61,15.73,broken clouds
145,Avarua,CK,-21.2078,-159.775,77.0,88,20,3.44,light rain
146,Dikson,RU,73.5069,80.5464,-29.18,86,34,10.02,scattered clouds
147,Tacna,PE,-18.0056,-70.2483,78.8,57,0,2.3,clear sky
148,Ilulissat,GL,69.2167,-51.1,17.6,41,40,26.46,snow
149,Ambilobe,MG,-13.2,49.05,76.26,89,100,0.98,light rain
150,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,8.05,broken clouds
151,Kaura Namoda,NG,12.5898,6.5779,92.46,11,49,10.13,scattered clouds
152,Dunmore East,IE,52.1514,-6.9861,46.0,83,40,10.36,scattered clouds
153,Fortuna,US,40.5982,-124.1573,45.0,100,90,3.04,overcast clouds
154,Dudinka,RU,69.4058,86.1778,-29.87,81,0,10.0,clear sky
155,Beringovskiy,RU,63.05,179.3167,-9.65,88,1,6.76,clear sky
156,Mamallapuram,IN,12.6264,80.1722,75.2,73,20,3.44,haze
157,Vaini,TO,-21.2,-175.2,77.0,100,75,4.61,broken clouds
158,Bahia De Caraquez,EC,-0.6,-80.4167,82.4,78,75,2.3,broken clouds
159,Aksarayskiy,RU,46.7924,48.0119,30.2,51,0,11.18,clear sky
160,Atar,MR,20.5169,-13.0499,75.96,19,33,19.01,scattered clouds
161,Vilyuysk,RU,63.7553,121.6247,-35.82,82,2,4.05,clear sky
162,Cabo San Lucas,MX,22.8909,-109.9124,62.6,67,1,3.44,clear sky
163,Tonekabon,IR,36.8163,50.8738,53.6,94,90,4.61,overcast clouds
164,Vikulovo,RU,56.8167,70.6107,33.39,94,100,18.68,overcast clouds
165,Broken Hill,AU,-31.95,141.4333,68.0,60,62,13.8,broken clouds
166,Hami,CN,42.8,93.45,32.52,78,100,4.12,overcast clouds
167,Bratsk,RU,56.1325,101.6142,6.8,92,100,2.24,light snow
168,Boulsa,BF,12.6675,-0.5758,98.51,11,33,5.26,scattered clouds
169,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,77,40,11.52,scattered clouds
170,Luderitz,NA,-26.6481,15.1594,77.23,46,0,30.27,clear sky
171,Duvan,RU,55.695,57.9024,13.86,94,100,17.09,overcast clouds
172,Tateyama,JP,34.9833,139.8667,48.99,43,0,1.01,clear sky
173,Bjornevatn,NO,69.6672,29.9847,24.8,80,75,20.71,broken clouds
174,Severo-Kurilsk,RU,50.6789,156.125,19.58,94,100,16.98,light snow
175,Puerto Narino,CO,-3.7703,-70.3831,84.2,84,75,2.3,broken clouds
176,Moron,AR,-34.6534,-58.6198,90.0,32,0,1.99,clear sky
177,Salalah,OM,17.0151,54.0924,75.2,64,40,9.22,scattered clouds
178,Elko,US,41.0002,-115.5012,28.0,87,0,7.0,clear sky
179,Havre De Grace,US,39.5493,-76.0916,42.01,52,40,12.66,haze
180,Cariamanga,EC,-4.3333,-79.55,69.8,73,90,1.14,overcast clouds
181,Kathu,TH,7.9178,98.3332,78.8,83,20,3.44,few clouds
182,Namatanai,PG,-3.6667,152.4333,79.48,79,84,2.19,broken clouds
183,Waipawa,NZ,-41.4122,175.5153,53.6,87,100,2.3,overcast clouds
184,Morgan City,US,29.6994,-91.2068,53.6,100,90,10.36,mist
185,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,87.01,44,0,1.99,clear sky
186,Cividale Del Friuli,IT,46.0931,13.4275,51.01,96,100,2.08,overcast clouds
187,Uvira,CD,-3.4067,29.1458,78.71,59,70,2.19,light rain
188,Puerto Carreno,CO,6.189,-67.4859,93.61,39,99,11.92,overcast clouds
189,Paralimni,CY,35.0375,33.9833,64.4,82,0,13.8,clear sky
190,Mahebourg,MU,-20.4081,57.7,80.6,74,20,8.05,few clouds
191,Namibe,AO,-15.1961,12.1522,75.43,70,25,12.15,scattered clouds
192,Saint-Augustin,CA,51.226,-58.6502,32.14,98,100,11.83,overcast clouds
193,Nova Olinda Do Norte,BR,-3.8881,-59.0942,90.34,56,86,4.52,overcast clouds
194,Surt,LY,31.2089,16.5887,73.0,33,65,7.65,broken clouds
195,Kasongo-Lunda,CD,-6.4667,16.8167,84.31,67,15,3.56,few clouds
196,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,40,19.57,scattered clouds
197,Parsons,US,37.3403,-95.2611,34.0,69,1,5.75,clear sky
198,Simpang,ID,-1.2667,104.0833,76.5,89,88,3.74,overcast clouds
199,Senador Jose Porfirio,BR,-2.5908,-51.9542,90.09,48,27,3.65,scattered clouds
200,Billings,US,45.7833,-108.5007,3.99,85,90,5.75,snow
201,Mkushi,ZM,-13.6202,29.3939,71.67,90,68,5.21,moderate rain
202,Rosario,AR,-32.9468,-60.6393,89.01,39,0,0.78,clear sky
203,Union De San Antonio,MX,21.1,-101.9667,59.0,31,1,4.52,clear sky
204,Carroll,US,39.5501,-77.0164,42.8,45,40,11.5,scattered clouds
205,Geraldton,AU,-28.7667,114.6,69.8,88,90,27.63,overcast clouds
206,Buritis,BR,-15.6178,-46.4233,80.83,76,99,7.81,light rain
207,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,2.3,light rain
208,Ventspils,LV,57.3894,21.5606,14.0,85,75,2.3,broken clouds
209,Kesinga,IN,20.2,83.2333,66.11,29,0,1.83,clear sky
210,Guymon,US,36.6828,-101.4816,32.0,59,1,8.05,clear sky
211,Olafsvik,IS,64.8945,-23.7142,35.71,79,100,16.87,light rain
212,Half Moon Bay,US,37.4636,-122.4286,48.0,93,90,3.91,mist
213,Coquimbo,CL,-29.9533,-71.3436,62.6,77,90,5.75,overcast clouds
214,Grindavik,IS,63.8424,-22.4338,37.4,65,75,20.71,broken clouds
215,Alofi,NU,-19.0595,-169.9187,77.0,88,100,9.22,overcast clouds
216,Port Lincoln,AU,-34.7333,135.8667,61.07,81,85,12.88,overcast clouds
217,Hermanus,ZA,-34.4187,19.2345,73.0,77,1,4.0,clear sky
218,Angoram,PG,-4.0625,144.0661,74.21,98,100,2.28,overcast clouds
219,Harper,LR,4.375,-7.7169,83.5,74,39,9.69,scattered clouds
