City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Provideniya,RU,2021-02-03 02:25:07,64.3833,-173.3,5.68,91,100,16.96
68,Aksarka,RU,2021-02-03 02:25:07,66.5606,67.7975,5.9,94,95,4.5
69,Ewo,CG,2021-02-03 02:25:07,-0.8725,14.8206,75.34,80,61,3.91
70,Diebougou,BF,2021-02-03 02:25:07,10.9667,-3.25,70.02,20,0,4.03
71,Pokhara,NP,2021-02-03 02:25:07,28.2333,83.9833,54.09,37,0,4.03
72,Ugoofaaru,MV,2021-02-03 02:25:07,5.6667,73.0,81.97,72,77,13.42
73,Aquiraz,BR,2021-02-03 02:25:07,-3.9014,-38.3911,80.6,78,20,12.66
74,Cape Town,ZA,2021-02-03 02:25:08,-33.9258,18.4232,66.99,88,0,17.27
75,Marienburg,PL,2021-02-03 02:25:08,54.0359,19.0266,28.0,91,100,1.99
76,Eqbaliyeh,IR,2021-02-03 02:25:08,35.3022,51.5358,41.0,70,0,9.22
77,Zhigalovo,RU,2021-02-03 02:25:08,54.8097,105.1578,-9.38,87,100,2.04
78,Tiznit,MA,2021-02-03 02:25:08,29.5833,-9.5,63.3,51,96,0.92
79,Namibe,AO,2021-02-03 02:25:09,-15.1961,12.1522,72.14,75,91,6.6
80,Cherskiy,RU,2021-02-03 02:25:09,68.75,161.3,1.87,85,0,3.42
81,Teya,RU,2021-02-03 02:25:09,60.3778,92.6267,-11.99,86,99,4.09
82,Bethel,US,2021-02-03 02:24:59,41.3712,-73.414,26.6,80,90,8.05
83,Kysyl-Syr,RU,2021-02-03 02:25:09,63.8986,122.7617,-32.62,82,100,7.47
84,Mahebourg,MU,2021-02-03 02:25:09,-20.4081,57.7,78.8,83,75,8.05
85,Road Town,VG,2021-02-03 02:20:29,18.4167,-64.6167,80.6,65,20,5.75
86,Kavieng,PG,2021-02-03 02:25:10,-2.5744,150.7967,84.16,73,20,10.83
87,Barrow,US,2021-02-03 02:24:31,71.2906,-156.7887,-25.6,68,1,16.11
88,Lichuan,CN,2021-02-03 02:25:10,30.3,108.85,45.27,62,3,1.21
89,Laguna,US,2021-02-03 02:25:10,38.421,-121.4238,55.4,82,75,5.75
90,Copiapo,CL,2021-02-03 02:23:46,-27.3667,-70.3333,59.0,88,90,11.5
91,Pisco,PE,2021-02-03 02:24:15,-13.7,-76.2167,73.0,73,0,6.91
92,Port Alfred,ZA,2021-02-03 02:25:11,-33.5906,26.891,71.64,66,19,4.38
93,Sao Miguel Do Araguaia,BR,2021-02-03 02:25:11,-13.275,-50.1628,76.8,70,99,1.3
94,Ola,RU,2021-02-03 02:25:11,59.5833,151.2833,-13.04,82,15,12.37
95,Hambantota,LK,2021-02-03 02:25:11,6.1241,81.1185,75.2,100,75,9.22
96,Mbekenyera,TZ,2021-02-03 02:25:12,-10.0,38.9833,68.61,94,0,1.41
97,Koygorodok,RU,2021-02-03 02:25:12,60.445,50.9968,14.86,96,100,8.97
98,Ancud,CL,2021-02-03 02:23:58,-41.8697,-73.8203,57.99,82,0,10.36
99,Tezpur,IN,2021-02-03 02:25:12,26.6333,92.8,61.38,63,0,3.11
100,Touros,BR,2021-02-03 02:25:12,-5.1989,-35.4608,78.8,78,20,5.75
101,Aripuana,BR,2021-02-03 02:25:12,-9.1667,-60.6333,74.3,96,100,0.56
102,Inhambane,MZ,2021-02-03 02:25:13,-23.865,35.3833,79.39,85,92,3.31
103,Tamandare,BR,2021-02-03 02:25:13,-8.7597,-35.1047,77.13,83,16,7.0
104,Kapaa,US,2021-02-03 02:25:13,22.0752,-159.319,77.0,73,40,10.36
105,Puerto Ayora,EC,2021-02-03 02:25:13,-0.7393,-90.3518,77.29,85,100,5.73
106,New Norfolk,AU,2021-02-03 02:25:14,-42.7826,147.0587,71.01,38,36,1.99
107,Talaya,RU,2021-02-03 02:25:14,61.3833,152.75,-26.88,81,100,6.51
108,Vao,NC,2021-02-03 02:25:14,-22.6667,167.4833,77.31,78,25,39.37
